method,tissue,n_samples
.v8.EUR.normalized_and_residualized_expression_homogeneous,AverageTissue,698
.v8.EUR.normalized_and_residualized_expression,Adipose_Subcutaneous,479
.v8.EUR.normalized_and_residualized_expression,Adipose_Visceral_Omentum,393
.v8.EUR.normalized_and_residualized_expression,Adrenal_Gland,194
.v8.EUR.normalized_and_residualized_expression,Artery_Aorta,329
.v8.EUR.normalized_and_residualized_expression,Artery_Coronary,175
.v8.EUR.normalized_and_residualized_expression,Artery_Tibial,476
.v8.EUR.normalized_and_residualized_expression,Brain_Amygdala,119
.v8.EUR.normalized_and_residualized_expression,Brain_Anterior_cingulate_cortex_BA24,135
.v8.EUR.normalized_and_residualized_expression,Brain_Caudate_basal_ganglia,172
.v8.EUR.normalized_and_residualized_expression,Brain_Cerebellar_Hemisphere,157
.v8.EUR.normalized_and_residualized_expression,Brain_Cerebellum,188
.v8.EUR.normalized_and_residualized_expression,Brain_Cortex,183
.v8.EUR.normalized_and_residualized_expression,Brain_Frontal_Cortex_BA9,157
.v8.EUR.normalized_and_residualized_expression,Brain_Hippocampus,150
.v8.EUR.normalized_and_residualized_expression,Brain_Hypothalamus,156
.v8.EUR.normalized_and_residualized_expression,Brain_Nucleus_accumbens_basal_ganglia,181
.v8.EUR.normalized_and_residualized_expression,Brain_Putamen_basal_ganglia,153
.v8.EUR.normalized_and_residualized_expression,Brain_Spinal_cord_cervical_c-1,115
.v8.EUR.normalized_and_residualized_expression,Brain_Substantia_nigra,100
.v8.EUR.normalized_and_residualized_expression,Breast_Mammary_Tissue,329
.v8.EUR.normalized_and_residualized_expression,Cells_Cultured_fibroblasts,403
.v8.EUR.normalized_and_residualized_expression,Cells_EBV-transformed_lymphocytes,113
.v8.EUR.normalized_and_residualized_expression,Colon_Sigmoid,266
.v8.EUR.normalized_and_residualized_expression,Colon_Transverse,294
.v8.EUR.normalized_and_residualized_expression,Esophagus_Gastroesophageal_Junction,275
.v8.EUR.normalized_and_residualized_expression,Esophagus_Mucosa,411
.v8.EUR.normalized_and_residualized_expression,Esophagus_Muscularis,385
.v8.EUR.normalized_and_residualized_expression,Heart_Atrial_Appendage,316
.v8.EUR.normalized_and_residualized_expression,Heart_Left_Ventricle,327
.v8.EUR.normalized_and_residualized_expression,Kidney_Cortex,65
.v8.EUR.normalized_and_residualized_expression,Liver,178
.v8.EUR.normalized_and_residualized_expression,Lung,436
.v8.EUR.normalized_and_residualized_expression,Minor_Salivary_Gland,114
.v8.EUR.normalized_and_residualized_expression,Muscle_Skeletal,588
.v8.EUR.normalized_and_residualized_expression,Nerve_Tibial,438
.v8.EUR.normalized_and_residualized_expression,Ovary,138
.v8.EUR.normalized_and_residualized_expression,Pancreas,243
.v8.EUR.normalized_and_residualized_expression,Pituitary,219
.v8.EUR.normalized_and_residualized_expression,Prostate,181
.v8.EUR.normalized_and_residualized_expression,Skin_Not_Sun_Exposed_Suprapubic,430
.v8.EUR.normalized_and_residualized_expression,Skin_Sun_Exposed_Lower_leg,508
.v8.EUR.normalized_and_residualized_expression,Small_Intestine_Terminal_Ileum,141
.v8.EUR.normalized_and_residualized_expression,Spleen,179
.v8.EUR.normalized_and_residualized_expression,Stomach,260
.v8.EUR.normalized_and_residualized_expression,Testis,272
.v8.EUR.normalized_and_residualized_expression,Thyroid,482
.v8.EUR.normalized_and_residualized_expression,Uterus,107
.v8.EUR.normalized_and_residualized_expression,Vagina,120
.v8.EUR.normalized_and_residualized_expression,Whole_Blood,558
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Adipose_Subcutaneous,479
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Adipose_Visceral_Omentum,393
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Adrenal_Gland,194
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Artery_Aorta,329
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Artery_Coronary,175
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Artery_Tibial,476
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Amygdala,119
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Anterior_cingulate_cortex_BA24,135
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Caudate_basal_ganglia,172
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Cerebellar_Hemisphere,157
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Cerebellum,188
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Cortex,183
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Frontal_Cortex_BA9,157
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Hippocampus,150
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Hypothalamus,156
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Nucleus_accumbens_basal_ganglia,181
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Putamen_basal_ganglia,153
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Spinal_cord_cervical_c-1,115
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Brain_Substantia_nigra,100
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Breast_Mammary_Tissue,329
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Cells_Cultured_fibroblasts,403
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Cells_EBV-transformed_lymphocytes,113
.v8.EUR.normalized_and_residualized_expression_heterogeneous,Colon_Sigmoid,266
