exp_type,tissue,gene
mean_norm_res_exp.specific,NK,ENSG00000001561
mean_norm_res_exp.specific,ncMono,ENSG00000002016
mean_norm_res_exp.specific,CD8,ENSG00000002549
mean_norm_res_exp.specific,cMono,ENSG00000002549
mean_norm_res_exp.specific,ncMono,ENSG00000002549
mean_norm_res_exp.specific,B,ENSG00000002933
mean_norm_res_exp.specific,CD4,ENSG00000002933
mean_norm_res_exp.specific,CD8,ENSG00000002933
mean_norm_res_exp.specific,NK,ENSG00000002933
mean_norm_res_exp.specific,cMono,ENSG00000002933
mean_norm_res_exp.specific,ncMono,ENSG00000002933
mean_norm_res_exp.specific,NK,ENSG00000003056
mean_norm_res_exp.specific,pDC,ENSG00000003056
mean_norm_res_exp.specific,CD4,ENSG00000003249
mean_norm_res_exp.specific,CD8,ENSG00000003249
mean_norm_res_exp.specific,cMono,ENSG00000003249
mean_norm_res_exp.specific,CD4,ENSG00000003393
mean_norm_res_exp.specific,NK,ENSG00000004399
mean_norm_res_exp.specific,ncMono,ENSG00000004487
mean_norm_res_exp.specific,CD4,ENSG00000004534
mean_norm_res_exp.specific,cMono,ENSG00000004534
mean_norm_res_exp.specific,pDC,ENSG00000004534
mean_norm_res_exp.specific,cMono,ENSG00000004864
mean_norm_res_exp.specific,CD4,ENSG00000005020
mean_norm_res_exp.specific,NK,ENSG00000005020
mean_norm_res_exp.specific,cDC,ENSG00000005020
mean_norm_res_exp.specific,cMono,ENSG00000005020
mean_norm_res_exp.specific,ncMono,ENSG00000005020
mean_norm_res_exp.specific,pDC,ENSG00000005020
mean_norm_res_exp.specific,CD4,ENSG00000005059
mean_norm_res_exp.specific,cMono,ENSG00000005059
mean_norm_res_exp.specific,CD4,ENSG00000005075
mean_norm_res_exp.specific,ncMono,ENSG00000006007
mean_norm_res_exp.specific,B,ENSG00000006015
mean_norm_res_exp.specific,CD4,ENSG00000006015
mean_norm_res_exp.specific,CD8,ENSG00000006015
mean_norm_res_exp.specific,NK,ENSG00000006015
mean_norm_res_exp.specific,cDC,ENSG00000006015
mean_norm_res_exp.specific,cMono,ENSG00000006015
mean_norm_res_exp.specific,CD8,ENSG00000006075
mean_norm_res_exp.specific,cMono,ENSG00000006075
mean_norm_res_exp.specific,CD4,ENSG00000006282
mean_norm_res_exp.specific,cDC,ENSG00000006282
mean_norm_res_exp.specific,cMono,ENSG00000006282
mean_norm_res_exp.specific,ncMono,ENSG00000006282
mean_norm_res_exp.specific,pDC,ENSG00000006282
mean_norm_res_exp.specific,B,ENSG00000006453
mean_norm_res_exp.specific,CD4,ENSG00000007129
mean_norm_res_exp.specific,CD8,ENSG00000007129
mean_norm_res_exp.specific,cDC,ENSG00000007129
mean_norm_res_exp.specific,cMono,ENSG00000007129
mean_norm_res_exp.specific,ncMono,ENSG00000007129
mean_norm_res_exp.specific,pDC,ENSG00000007129
mean_norm_res_exp.specific,B,ENSG00000007312
mean_norm_res_exp.specific,NK,ENSG00000007312
mean_norm_res_exp.specific,B,ENSG00000007944
mean_norm_res_exp.specific,B,ENSG00000008324
mean_norm_res_exp.specific,cMono,ENSG00000008516
mean_norm_res_exp.specific,CD4,ENSG00000008517
mean_norm_res_exp.specific,NK,ENSG00000008517
mean_norm_res_exp.specific,B,ENSG00000008869
mean_norm_res_exp.specific,CD4,ENSG00000009335
mean_norm_res_exp.specific,CD4,ENSG00000009413
mean_norm_res_exp.specific,cDC,ENSG00000009830
mean_norm_res_exp.specific,CD4,ENSG00000010030
mean_norm_res_exp.specific,cDC,ENSG00000010030
mean_norm_res_exp.specific,cMono,ENSG00000010030
mean_norm_res_exp.specific,ncMono,ENSG00000010030
mean_norm_res_exp.specific,CD4,ENSG00000010219
mean_norm_res_exp.specific,cMono,ENSG00000010219
mean_norm_res_exp.specific,B,ENSG00000010278
mean_norm_res_exp.specific,cMono,ENSG00000010278
mean_norm_res_exp.specific,pDC,ENSG00000010610
mean_norm_res_exp.specific,B,ENSG00000011007
mean_norm_res_exp.specific,NK,ENSG00000011485
mean_norm_res_exp.specific,cDC,ENSG00000011485
mean_norm_res_exp.specific,cMono,ENSG00000011485
mean_norm_res_exp.specific,pDC,ENSG00000011485
mean_norm_res_exp.specific,CD4,ENSG00000011523
mean_norm_res_exp.specific,CD4,ENSG00000011590
mean_norm_res_exp.specific,NK,ENSG00000011590
mean_norm_res_exp.specific,NK,ENSG00000011600
mean_norm_res_exp.specific,CD4,ENSG00000011638
mean_norm_res_exp.specific,B,ENSG00000012660
mean_norm_res_exp.specific,CD4,ENSG00000012963
mean_norm_res_exp.specific,CD4,ENSG00000013573
mean_norm_res_exp.specific,CD8,ENSG00000013573
mean_norm_res_exp.specific,cDC,ENSG00000013573
mean_norm_res_exp.specific,cMono,ENSG00000013573
mean_norm_res_exp.specific,ncMono,ENSG00000013573
mean_norm_res_exp.specific,pDC,ENSG00000013573
mean_norm_res_exp.specific,CD4,ENSG00000013583
mean_norm_res_exp.specific,CD4,ENSG00000013725
mean_norm_res_exp.specific,CD4,ENSG00000013810
mean_norm_res_exp.specific,CD4,ENSG00000014123
mean_norm_res_exp.specific,cMono,ENSG00000014123
mean_norm_res_exp.specific,CD4,ENSG00000014164
mean_norm_res_exp.specific,NK,ENSG00000016864
mean_norm_res_exp.specific,B,ENSG00000019169
mean_norm_res_exp.specific,CD4,ENSG00000019169
mean_norm_res_exp.specific,cMono,ENSG00000019169
mean_norm_res_exp.specific,ncMono,ENSG00000019169
mean_norm_res_exp.specific,ncMono,ENSG00000020577
mean_norm_res_exp.specific,cDC,ENSG00000020922
mean_norm_res_exp.specific,CD4,ENSG00000021355
mean_norm_res_exp.specific,NK,ENSG00000021355
mean_norm_res_exp.specific,NK,ENSG00000021762
mean_norm_res_exp.specific,CD4,ENSG00000023171
mean_norm_res_exp.specific,CD8,ENSG00000023171
mean_norm_res_exp.specific,cMono,ENSG00000023892
mean_norm_res_exp.specific,CD4,ENSG00000023902
mean_norm_res_exp.specific,CD4,ENSG00000025708
mean_norm_res_exp.specific,CD8,ENSG00000025708
mean_norm_res_exp.specific,NK,ENSG00000025708
mean_norm_res_exp.specific,cMono,ENSG00000025708
mean_norm_res_exp.specific,ncMono,ENSG00000025708
