tissue,n_eqtls
Adipose_Subcutaneous,16159
Adipose_Visceral_Omentum,5626
Adrenal_Gland,15294
Artery_Aorta,22556
Artery_Coronary,269
Artery_Tibial,36016
AverageTissue,5032534
Brain_Amygdala,494
Brain_Anterior_cingulate_cortex_BA24,1403
Brain_Caudate_basal_ganglia,4031
Brain_Cerebellar_Hemisphere,13584
Brain_Cerebellum,33991
Brain_Cortex,9060
Brain_Frontal_Cortex_BA9,2796
Brain_Hippocampus,1058
Brain_Hypothalamus,1189
Brain_Nucleus_accumbens_basal_ganglia,4822
Brain_Putamen_basal_ganglia,1671
Brain_Spinal_cord_cervical_c-1,4964
Brain_Substantia_nigra,732
Breast_Mammary_Tissue,1312
Cells_Cultured_fibroblasts,96553
Cells_EBV-transformed_lymphocytes,9218
Colon_Sigmoid,7857
Colon_Transverse,9436
Esophagus_Gastroesophageal_Junction,2210
Esophagus_Mucosa,67039
Esophagus_Muscularis,16672
Heart_Atrial_Appendage,14810
Heart_Left_Ventricle,14592
Kidney_Cortex,1397
Liver,18906
Lung,23759
Minor_Salivary_Gland,2295
Muscle_Skeletal,95429
Nerve_Tibial,64284
Ovary,2906
Pancreas,29289
Pituitary,12858
Prostate,3534
Skin_Not_Sun_Exposed_Suprapubic,25779
Skin_Sun_Exposed_Lower_leg,49144
Small_Intestine_Terminal_Ileum,1151
Spleen,13620
Stomach,6361
Testis,187862
Thyroid,114738
Uterus,369
Vagina,557
Whole_Blood,135328
