tissue,found_in,n_eqtls
Adipose_Subcutaneous,ts_only,61386
Adipose_Subcutaneous,sh_only,7414067
Adipose_Subcutaneous,both,257630
Adipose_Visceral_Omentum,ts_only,30548
Adipose_Visceral_Omentum,sh_only,7556137
Adipose_Visceral_Omentum,both,115560
Adrenal_Gland,ts_only,39166
Adrenal_Gland,sh_only,7591328
Adrenal_Gland,both,80369
Artery_Aorta,ts_only,77674
Artery_Aorta,sh_only,7495965
Artery_Aorta,both,175732
Artery_Coronary,ts_only,5232
Artery_Coronary,sh_only,7654796
Artery_Coronary,both,16901
Artery_Tibial,ts_only,118896
Artery_Tibial,sh_only,7371019
Artery_Tibial,both,300678
Brain_Amygdala,ts_only,3844
Brain_Amygdala,sh_only,7644257
Brain_Amygdala,both,27440
Brain_Anterior_cingulate_cortex_BA24,ts_only,9545
Brain_Anterior_cingulate_cortex_BA24,sh_only,7619287
Brain_Anterior_cingulate_cortex_BA24,both,52410
Brain_Caudate_basal_ganglia,ts_only,25750
Brain_Caudate_basal_ganglia,sh_only,7583050
Brain_Caudate_basal_ganglia,both,88647
Brain_Cerebellar_Hemisphere,ts_only,91504
Brain_Cerebellar_Hemisphere,sh_only,7475490
Brain_Cerebellar_Hemisphere,both,196207
Brain_Cerebellum,ts_only,136675
Brain_Cerebellum,sh_only,7394320
Brain_Cerebellum,both,277377
Brain_Cortex,ts_only,41819
Brain_Cortex,sh_only,7537568
Brain_Cortex,both,134129
Brain_Frontal_Cortex_BA9,ts_only,22940
Brain_Frontal_Cortex_BA9,sh_only,7565246
Brain_Frontal_Cortex_BA9,both,106451
Brain_Hippocampus,ts_only,7503
Brain_Hippocampus,sh_only,7605939
Brain_Hippocampus,both,65758
Brain_Hypothalamus,ts_only,11506
Brain_Hypothalamus,sh_only,7611764
Brain_Hypothalamus,both,59933
Brain_Nucleus_accumbens_basal_ganglia,ts_only,32335
Brain_Nucleus_accumbens_basal_ganglia,sh_only,7556889
Brain_Nucleus_accumbens_basal_ganglia,both,114808
Brain_Putamen_basal_ganglia,ts_only,18824
Brain_Putamen_basal_ganglia,sh_only,7598191
Brain_Putamen_basal_ganglia,both,73506
Brain_Spinal_cord_cervical_c-1,ts_only,16109
Brain_Spinal_cord_cervical_c-1,sh_only,7627215
Brain_Spinal_cord_cervical_c-1,both,44482
Brain_Substantia_nigra,ts_only,4175
Brain_Substantia_nigra,sh_only,7651827
Brain_Substantia_nigra,both,19870
Breast_Mammary_Tissue,ts_only,7946
Breast_Mammary_Tissue,sh_only,7617110
Breast_Mammary_Tissue,both,54587
Cells_Cultured_fibroblasts,ts_only,204618
Cells_Cultured_fibroblasts,sh_only,7189187
Cells_Cultured_fibroblasts,both,482510
Cells_EBV-transformed_lymphocytes,ts_only,31781
Cells_EBV-transformed_lymphocytes,sh_only,7599394
Cells_EBV-transformed_lymphocytes,both,72303
Colon_Sigmoid,ts_only,30109
Colon_Sigmoid,sh_only,7592369
Colon_Sigmoid,both,79328
Colon_Transverse,ts_only,28604
Colon_Transverse,sh_only,7548769
Colon_Transverse,both,122928
Esophagus_Gastroesophageal_Junction,ts_only,21034
Esophagus_Gastroesophageal_Junction,sh_only,7597458
Esophagus_Gastroesophageal_Junction,both,74239
Esophagus_Mucosa,ts_only,179906
Esophagus_Mucosa,sh_only,7313414
Esophagus_Mucosa,both,358283
Esophagus_Muscularis,ts_only,63709
Esophagus_Muscularis,sh_only,7490334
Esophagus_Muscularis,both,181363
Heart_Atrial_Appendage,ts_only,58673
Heart_Atrial_Appendage,sh_only,7538510
Heart_Atrial_Appendage,both,133187
Heart_Left_Ventricle,ts_only,59224
Heart_Left_Ventricle,sh_only,7512117
Heart_Left_Ventricle,both,159580
Kidney_Cortex,ts_only,2642
Kidney_Cortex,sh_only,7664341
Kidney_Cortex,both,7356
Liver,ts_only,45943
Liver,sh_only,7551934
Liver,both,119763
Lung,ts_only,67264
Lung,sh_only,7465291
Lung,both,206406
Minor_Salivary_Gland,ts_only,5534
Minor_Salivary_Gland,sh_only,7651759
Minor_Salivary_Gland,both,19938
