dataset	category	pvalue	p_adj	sig_label	type	proportion
GTEx Tissues	"Shared
only"	0.00225941697734392	0.00301255596979189	**	eGenes	21.9137120888509
GTEx Tissues	"Shared
only"	0.00225941697734392	0.00301255596979189	**	Background	25.7582229816318
GTEx Tissues	"Specific
only"	0.0271708760725684	0.031052429797221	*	eGenes	23.8968982088248
GTEx Tissues	"Specific
only"	0.0271708760725684	0.031052429797221	*	Background	26.780253385758
GTEx Tissues	"Shared+
specific"	7.43333850467845e-19	1.98222360124759e-18	***	eGenes	15.46875
GTEx Tissues	"Shared+
specific"	7.43333850467845e-19	1.98222360124759e-18	***	Background	25.46875
GTEx Tissues	CxC	7.38591125546692e-12	1.47718225109338e-11	***	eGenes	17.578125
GTEx Tissues	CxC	7.38591125546692e-12	1.47718225109338e-11	***	Background	25.46875
PBMC Cell Types	"Shared
only"	5.16297196081215e-11	8.26075513729943e-11	***	eGenes	13.1477184841454
PBMC Cell Types	"Shared
only"	5.16297196081215e-11	8.26075513729943e-11	***	Background	23.1245166279969
PBMC Cell Types	"Specific
only"	0.0529300781131407	0.0529300781131407	ns	eGenes	20.9141274238227
PBMC Cell Types	"Specific
only"	0.0529300781131407	0.0529300781131407	ns	Background	25.3462603878116
PBMC Cell Types	"Shared+
specific"	6.48467077755397e-21	2.59386831102159e-20	***	eGenes	12.1555915721232
PBMC Cell Types	"Shared+
specific"	6.48467077755397e-21	2.59386831102159e-20	***	Background	23.9870340356564
PBMC Cell Types	CxC	5.58032868234599e-23	4.46426294587679e-22	***	eGenes	15.0296468161897
PBMC Cell Types	CxC	5.58032868234599e-23	4.46426294587679e-22	***	Background	23.8979118329466
