set,ATAC_tissue,CLUES_tissue,odds_ratio,p.adjusted.BH,p.value,conf_int.lower,conf_int.upper
HET.each_tissue,B,B,1.4645798638203549,3.166742860630783e-12,3.166742860630783e-13,1.3195540704298845,1.6264162926974663
HET.each_tissue,B,CD4,1.0693403135619426,0.0935819770229777,0.05380963678821218,0.9989088274486756,1.144730004781107
HET.each_tissue,B,CD8,0.9892391553187213,0.9182952869957742,0.8953379048208799,0.8676741152446668,1.127838207627708
HET.each_tissue,B,NK,1.047731547146324,0.5412505664458802,0.47359424564014524,0.9254795119080258,1.1862395272158657
HET.each_tissue,B,cDC,1.0080136135357378,0.9418570615283655,0.9418570615283655,0.8714105079799374,1.1660433549867182
HET.each_tissue,B,cMono,1.1007205761033474,0.14797327358193268,0.09248329598870793,0.9845883632264998,1.230814638499459
HET.each_tissue,B,ncMono,1.0670787431647215,0.4243624917900247,0.3236523076406041,0.9399490414033603,1.2115136954547365
HET.each_tissue,B,pDC,1.01341999488383,0.9182952869957742,0.8839042750419663,0.8759462216295592,1.1724961023352
HET.each_tissue,Mye,B,1.047457767834242,0.6312710548874023,0.5681439493986621,0.8996667749825336,1.2196056563996782
HET.each_tissue,Mye,CD4,1.0352805871507598,0.44361678358724826,0.377074266049161,0.959507929760535,1.1170287172840303
HET.each_tissue,Mye,CD8,0.9266684203586593,0.4243624917900247,0.3288809311372692,0.7973621600122321,1.0766602604584385
HET.each_tissue,Mye,NK,1.1103069817720004,0.2356527469363896,0.15317428550865322,0.9627507927708476,1.2808246282466886
HET.each_tissue,Mye,cDC,1.1055603277031818,0.3255767423805192,0.21976430110685047,0.9436552208955721,1.2956792550261114
HET.each_tissue,Mye,cMono,1.2143513589788981,0.0019647751229131625,7.188202983096646e-4,1.0842401601381553,1.3605433172864074
HET.each_tissue,Mye,ncMono,1.0674711897006335,0.4324305925497886,0.3567552388535756,0.9315781521200993,1.223335507512632
HET.each_tissue,Mye,pDC,0.9086421443299254,0.3523720678738186,0.246660447511673,0.7741768886278005,1.0660874887500211
HET.each_tissue,NK,B,1.5089255151706018,4.118072899014052e-6,8.236145798028103e-7,1.277297986277271,1.7851821183405843
