set,ENCODE_tissue,GTEx_tissue,odds_ratio,q_val,is_sign,is_matched
FastGxE ts-eQTL Variants,adrenal gland #1,Adipose_Subcutaneous,1.0646289535301436,0.6116271138511808,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Adipose_Visceral_Omentum,0.9660630173653243,0.8666197187612599,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Adrenal_Gland,1.3044619043470702,0.12239504027019822,0,yes
FastGxE ts-eQTL Variants,adrenal gland #1,Artery_Aorta,0.9374391365069145,0.9537602419095257,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Artery_Coronary,0.42365341912370025,0.9999997903902816,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Artery_Tibial,1.1122620888604662,0.2926382452771311,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Brain_Anterior_cingulate_cortex_BA24,1,0.8595457044589461,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Brain_Cerebellum,1.292556907053177,0.03585088766057593,1,no
FastGxE ts-eQTL Variants,adrenal gland #1,Breast_Mammary_Tissue,1.1452448839921414,0.7148522126535523,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Colon_Sigmoid,1.280670636560425,0.30773390307921616,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Colon_Transverse,0.9126747356754698,0.9531582300278778,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Esophagus_Gastroesophageal_Junction,1.2759278380450492,0.6535682358084742,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Esophagus_Mucosa,1.0547559926647698,0.4902203155575752,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Esophagus_Muscularis,0.7875173993316221,0.9999997903902816,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Heart_Atrial_Appendage,0.9423063489691753,0.9263996636349666,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Heart_Left_Ventricle,1.369324722096307,0.05134020762407681,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Liver,1.379426325597014,0.05847106473663827,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Muscle_Skeletal,1.2284705861821668,1.1492208807160934e-4,1,no
FastGxE ts-eQTL Variants,adrenal gland #1,Nerve_Tibial,0.8741554340641304,0.9999997903902816,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Ovary,0.415515783941766,0.9999997903902816,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Pancreas,1.079209743555673,0.4902203155575752,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Prostate,1.0672842433456686,0.7744458930899616,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Spleen,1.279258992976578,0.14258049018224375,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Stomach,0.7088767364935751,0.9999997903902816,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Testis,1.042742006924247,0.36904484360424383,0,no
FastGxE ts-eQTL Variants,adrenal gland #1,Thyroid,1.137603562589694,0.03541993916215278,1,no
FastGxE ts-eQTL Variants,adrenal gland #1,Whole_Blood,1.1668486577662738,6.832845704728863e-4,1,no
FastGxE ts-eQTL Variants,adrenal gland #2,Adipose_Subcutaneous,1.1285016212180343,0.2689683165539101,0,no
FastGxE ts-eQTL Variants,adrenal gland #2,Adipose_Visceral_Omentum,1.3041862515584106,0.20020548782865283,0,no
