trait	relevant_tissue
alcohol consumption measurement	"Liver,Brain_Cortex"
allergy	"Whole_Blood,Lung"
"Alzheimer's disease, family history of Alzheimer’s disease"	"Brain_Hippocampus,Brain_Cortex"
"schizophrenia, autism spectrum disorder"	Brain_Cortex
body mass index	"Adipose_Subcutaneous,Adipose_Visceral_Omentum"
total cholesterol measurement	Liver
high density lipoprotein cholesterol measurement	Liver
low density lipoprotein cholesterol measurement	Liver
triglyceride measurement	Liver
body fat distribution	"Adipose_Subcutaneous,Adipose_Visceral_Omentum"
body fat percentage	"Adipose_Subcutaneous,Adipose_Visceral_Omentum"
breast carcinoma	Breast_Mammary_Tissue
C-reactive protein measurement	Liver
leukocyte count	Whole_Blood
hematocrit	Whole_Blood
mean corpuscular volume	Whole_Blood
mean corpuscular hemoglobin	Whole_Blood
ulcerative colitis	"Colon_Sigmoid,Colon_Transverse"
intelligence	Brain_Cortex
Crohn's disease	"Small_Intestine_Terminal_Ileum,Colon_Transverse"
"unipolar depression, mood disorder"	Brain_Cortex
eosinophil count	Whole_Blood
eosinophil percentage of granulocytes	Whole_Blood
type II diabetes mellitus	"Pancreas,Adipose_Visceral_Omentum"
granulocyte percentage of myeloid white cells	Whole_Blood
"Eczema, allergic rhinitis"	"Skin_Sun_Exposed_Lower_leg,Lung"
erythrocyte count	Whole_Blood
red blood cell distribution width	Whole_Blood
response to vaccine	"Whole_Blood,Spleen"
interleukin-1 beta measurement	Whole_Blood
inflammatory bowel disease	"Colon_Sigmoid,Small_Intestine_Terminal_Ileum"
lung carcinoma	Lung
schizophrenia	Brain_Cortex
myeloid white cell count	Whole_Blood
neuroticism measurement	Brain_Cortex
neutrophil count	Whole_Blood
Parkinson's disease	Brain_Substantia_nigra
"forced expiratory volume, response to bronchodilator"	Lung
pulse pressure measurement	"Artery_Aorta,Heart_Left_Ventricle"
rheumatoid arthritis	Whole_Blood
venous thromboembolism	Artery_Aorta
BMI-adjusted waist circumference	Adipose_Visceral_Omentum
BMI-adjusted waist-hip ratio	Adipose_Visceral_Omentum
"anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression"	Brain_Cortex
coronary artery disease	Artery_Coronary
drug dependence	Brain_Cortex
lung adenocarcinoma	Lung
age-related macular degeneration	Brain_Cortex
risk-taking behaviour	Brain_Cortex
"Duchenne muscular dystrophy, disease progression measurement"	Muscle_Skeletal
serum alanine aminotransferase measurement	Liver
alcoholic pancreatitis	Pancreas
ankylosing spondylitis	Whole_Blood
atopic eczema	Skin_Sun_Exposed_Lower_leg
autoimmune disease	Whole_Blood
lymphoma	"Whole_Blood,Spleen"
Behcet's syndrome	Whole_Blood
fibrinogen measurement	Liver
uric acid measurement	Kidney_Cortex
bipolar disorder	Brain_Cortex
"schizophrenia, bipolar disorder"	Brain_Cortex
birth weight	"Placenta (not in GTEx, use Whole_Blood as proxy)"
sensory perception of bitter taste	Brain_Cortex
multiple sclerosis	"Brain_Cortex,Whole_Blood"
"total cholesterol measurement, C-reactive protein measurement"	Liver
coffee consumption	"Liver,Brain_Cortex"
cancer	Whole_Blood
platelet count	Whole_Blood
serum gamma-glutamyl transferase measurement	Liver
cervical carcinoma	"Uterus,Cervix (not in GTEx, use Vagina)"
chronic hepatitis B virus infection	Liver
hepatitis B virus infection	Liver
"ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis"	"Whole_Blood,Colon_Sigmoid,Skin_Sun_Exposed_Lower_leg"
periodontitis	Minor_Salivary_Gland
circadian rhythm	Brain_Hypothalamus
"large artery stroke, coronary heart disease"	"Artery_Aorta,Artery_Coronary"
depressive symptom measurement	Brain_Cortex
HbA1c measurement	"Pancreas,Whole_Blood"
"diastolic blood pressure, alcohol drinking"	"Artery_Aorta,Liver"
factor VIII measurement	Liver
von Willebrand factor measurement	Liver
eosinophil percentage of leukocytes	Whole_Blood
Frontotemporal dementia	Brain_Frontal_Cortex_BA9
type I diabetes mellitus	"Pancreas,Whole_Blood"
glaucoma	Brain_Cortex
open-angle glaucoma	Brain_Cortex
granulocyte count	Whole_Blood
Graves disease	Thyroid
"alcohol drinking, high density lipoprotein cholesterol measurement"	Liver
"alcohol consumption measurement, high density lipoprotein cholesterol measurement"	Liver
"HDL cholesterol change measurement, physical activity"	"Liver,Muscle_Skeletal"
"response to beta blocker, heart rate"	Heart_Left_Ventricle
hemoglobin measurement	Whole_Blood
lymphocyte count	Whole_Blood
mean corpuscular hemoglobin concentration	Whole_Blood
reticulocyte count	Whole_Blood
mathematical ability	Brain_Cortex
hip circumference	Adipose_Subcutaneous
