tissue,color_hex,abbreviation
Adipose_Subcutaneous,#FF6600,ADPSBQ
Adipose_Visceral_Omentum,#FFAA00,ADPVSC
Adrenal_Gland,#33DD33,ADRNLG
Artery_Aorta,#FF5555,ARTAORT
Artery_Coronary,#FFAA99,ARTCRN
Artery_Tibial,#FF0000,ARTTBL
Brain_Amygdala,#EEEE00,BRNAMY
Brain_Anterior_cingulate_cortex_BA24,#EEEE00,BRNACC
Brain_Caudate_basal_ganglia,#EEEE00,BRNCDT
Brain_Cerebellar_Hemisphere,#EEEE00,BRNCHB
Brain_Cerebellum,#EEEE00,BRNCHA
Brain_Cortex,#EEEE00,BRNCTXA
Brain_Frontal_Cortex_BA9,#EEEE00,BRNCTXB
Brain_Hippocampus,#EEEE00,BRNHPP
Brain_Hypothalamus,#EEEE00,BRNHPT
Brain_Nucleus_accumbens_basal_ganglia,#EEEE00,BRNNCC
Brain_Putamen_basal_ganglia,#EEEE00,BRNPTM
Brain_Spinal_cord_cervical_c-1,#EEEE00,BRNSPC
Brain_Substantia_nigra,#EEEE00,BRNSNG
Breast_Mammary_Tissue,#33CCCC,BREAST
Cells_Cultured_fibroblasts,#AAEEFF,FIBRBLS
Cells_EBV-transformed_lymphocytes,#CC66FF,LCL
Colon_Sigmoid,#EEBB77,CLNSGM
Colon_Transverse,#CC9955,CLNTRN
Esophagus_Gastroesophageal_Junction,#8B7355,ESPGEJ
Esophagus_Mucosa,#552200,ESPMCS
Esophagus_Muscularis,#BB9988,ESPMSL
Heart_Atrial_Appendage,#9900FF,HRTAA
Heart_Left_Ventricle,#660099,HRTLV
Kidney_Cortex,#22FFDD,KDNCTX
Liver,#AABB66,LIVER
Lung,#99FF00,LUNG
Minor_Salivary_Gland,#99BB88,SLVRYG
Muscle_Skeletal,#AAAAFF,MSCLSK
Nerve_Tibial,#FFD700,NERVET
Ovary,#FFAAFF,OVARY
Pancreas,#995522,PNCREAS
Pituitary,#AAFF99,PTTARY
Prostate,#DDDDDD,PRSTTE
Skin_Not_Sun_Exposed_Suprapubic,#0000FF,SKINNS
Skin_Sun_Exposed_Lower_leg,#7777FF,SKINS
Small_Intestine_Terminal_Ileum,#555522,SNTTRM
Spleen,#778855,SPLEEN
Stomach,#FFDD99,STMACH
Testis,#AAAAAA,TESTIS
Thyroid,#006600,THYROID
Uterus,#FF66FF,UTERUS
Vagina,#FF5599,VAGINA
Whole_Blood,#FF00BB,WHLBLD
AverageTissue,midnightblue,SHARED
