PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	gPC1	gPC2	gPC3	gPC4	gPC5	PCR	Cohort	Sex	Age	Ethnicity	Height	Weight	BMI	Death cause	Batch ID	Ischemic time	RIN Number	Tissue Type	Tissue	Uberon ID	Intragenic Rate	Total Mapping Rate	Exonic Mapping Rate	rRNA Rate
PC1	1	1.83396411889067e-05	0.000530133801942372	0.000981264171888936	0.000339588419756374	0.000322162931356962	0.00198810483348011	0.000362318698967838	0.000237332693922525	0.000853719222707727	0.00120612089436885	0.00128591818450092	0.000642414278238491	0.000286326406188767	0.000503593035751921	0.00155206961567218	0.00103793462329809	0.00142954559322024	0.000281176999442124	0.000716858475597588	0.000878932930453064	0.00111433564630905	0.000363371782858733	0.000264013544970173	0.000747174625343533	0.000287971449608499	0.000850504465889634	0.000255862694026211	0.000862526644967304	0.00158493567266849	0.000811882571594119	0.00032623775085175	0.00031023502055068	0.000793246858652968	0.000396682712009301	0.000832506700456554	0.000397115519341389	0.000633176102671508	0.000805593281679033	0.000744237992167038	0.0287221396238712	0.0524455473495451	0.0255119617122964	0.0562776499011537	0.0786800628729146	0.00712453040051824	0.409017132319084	0.0444478887724111	0.19729425431519	0.264518022814992	0.0701775670676919	0.0440622146575386	0.00507214149778404	0.360535253652969	0.298273680529196	0.333747252629319	0.335060164684118	0.00322391313343198	0.00360240103769779	0.00360239537846498	0.163154825948714	0.0104437469585144	0.453708015561402	0.0927074590998155
PC2	1.83396411889067e-05	1	0.000143886557200881	0.000292586480210402	0.000116738488730128	0.000586314430570588	0.00118088254002303	0.00104165360710901	0.000286129654656401	0.000765933255393976	0.000274235634009827	0.000229484807805658	0.000821314478097806	0.000229193333277499	0.00183228600168184	6.08211915960419e-06	0.000447824345228661	0.000453622678228403	7.44633198103105e-05	0.00165936073319789	0.0013749993205465	0.000354189337217158	0.000515679046647587	0.00167819322599552	0.00101854321685211	0.000198198591823228	0.00051200425038119	0.000586996478687714	0.00049596158921237	0.0010176799752507	0.00107187708807429	0.00172598609313049	0.00189120929790404	0.00019295646835754	0.000760137715767642	0.000616451556948572	0.000481661245228955	0.000116880144866809	0.000155991843873343	0.00153174853159271	0.0146259408268303	0.00057179571310487	0.000444235596022888	0.0359652426407214	0.0242633619017872	0.0277413375112571	0.020318813202596	0.0350205397975812	0.0232855088643896	0.0611836165560983	0.0478456565594551	0.0440640299282348	0.024602864104652	0.0586666363610877	0.542498668800028	0.0360298761952711	0.183081325500508	0.00252225007467427	0.00344849519925193	0.00344849519879689	0.011216589835511	0.097296317970543	0.203037291490475	0.0817129022006141
PC3	0.000530133801942372	0.000143886557200881	1	0.000169760849570007	0.000604018680189493	0.000649597189177287	0.000212882379530554	2.12035454798319e-05	0.000453979142165964	0.000312973607895858	7.25762851428637e-05	0.000420295947748351	0.000280327553117651	0.000393090366393223	0.000338596766311624	6.07144344024875e-05	0.00233520740632067	0.000923232967584828	0.000317051038320392	7.03865127001323e-05	0.000858889664807402	0.00120046581069358	0.000137525301055228	0.000534992025085275	0.00110849265748148	0.000874471621878797	0.000798815624006473	0.000609242378122207	0.00116959197228929	0.000872734639798321	0.000311917966520877	0.000264221091026061	0.000498369056041859	0.000559546138185889	0.000213276249910705	8.93829448829877e-05	0.000539651805174546	0.000479377731744304	0.000145129802878509	0.00078442104964932	0.0171956325745841	0.0321980076867233	0.0342413076750056	0.0316927044380367	0.0391407941257031	0.000147754817029397	0.0875315334107481	0.00607432153305412	0.0616461837106695	0.0376687222348993	0.00424071050821034	0.00651408381467316	0.0130962677326653	0.206032900468165	0.296329226720983	0.0295764190049989	0.0945015076808276	0.00139362488258547	0.00201979354487371	0.0020197867271498	0.033731004873562	0.0256877354434576	0.123154996030277	0.0516027305440232
PC4	0.000981264171888936	0.000292586480210402	0.000169760849570007	1	0.000262338864173229	0.000377468901289797	0.000748492662273378	0.000517591082557716	6.72716543489637e-05	0.000373849383637702	0.000669120878621518	0.00124149768248899	0.000717495899203009	0.00140963204845386	0.00010023244025273	0.00194446670217334	0.000502576082542693	0.000838142174003418	7.88028550788621e-05	4.0253416073457e-05	0.000393832032287994	0.00083266800358933	0.000207707153617248	0.000588698727259708	0.000336456405203582	0.000696651533059282	0.00101585234013265	0.00145966353114668	2.8085180571374e-05	0.000253051845241409	0.000954776387175352	0.000260790954490987	0.00140442611364912	7.05619020978107e-05	0.00089341885172383	0.000313400390227458	0.000894236711804435	0.000361322828636523	0.00121282971672424	0.000274971101143669	0.0154511679702918	0.0136590407005798	0.0213742975784981	0.0139943670839553	0.00763588030394083	0.0215013965219258	0.258240610514825	0.0409395485917048	0.135595944157258	0.151180482718047	0.0614624557208137	0.0487361024904243	0.0201499567465583	0.255876611674592	0.323934678728615	0.24286158433302	0.172823795726748	0.0034587565587523	0.00402198466483222	0.00402198461015844	0.0826508890460447	0.0136460585067113	0.114791523104416	0.142993060296988
PC5	0.000339588419756374	0.000116738488730128	0.000604018680189493	0.000262338864173229	1	0.000601189974995398	0.000412225078969885	0.00018141492961652	0.000299354276344413	0.000947561157670891	0.000601989366745116	0.000307750328365102	0.00042578112744906	0.000934215724722168	0.000794996521350584	6.11931996794322e-05	0.000786767977584684	0.000463186514770339	0.000168505402036894	0.000422402808773018	0.000557856913584004	0.000966248802519478	0.000581846180484664	0.000184689395893136	0.000803675536754984	7.6124423271165e-05	0.000191904604450869	0.000897675066461604	0.000106766667140335	0.000376410626188648	0.00064949919118715	0.00066547454386559	0.000250704055211598	0.00086856316599655	0.000211001958370861	0.000287180529625473	6.51938298004001e-06	0.000361611140764201	0.000650883881716368	0.000362806904055735	0.00821490243353125	0.0132738490271524	0.00275951828190535	0.003837080331249	0.000113036957375046	0.0271198506878667	0.0468946183999988	0.0313914301126961	0.0347530190055189	0.061791911408841	0.00634730618142927	0.015818380985643	0.0258816946377619	0.102653325271661	0.343240277776451	0.00904873666559283	0.0778148582487929	0.00234041141092021	0.00337717135180364	0.00337717107247576	0.0415094845231138	0.0271876520707178	0.0628959102143112	0.0670225676666092
PC6	0.000322162931356962	0.000586314430570588	0.000649597189177287	0.000377468901289797	0.000601189974995398	1	0.000667421294686572	0.000309490256620954	0.000759719273357422	0.00140964689698882	0.000434868608092739	9.83715031349303e-05	0.000432620880166899	0.000593854913547974	0.000505937369138955	0.000104674261767881	2.68010459289179e-05	0.000146615301059364	0.000331913886210255	0.000100984580371572	0.000283174260618283	0.00063602749032941	0.000309446243862916	0.00050294337964705	0.000197601850898564	0.00063068310432713	5.11823804541962e-05	0.000238450740713842	0.000704761060776909	0.00102751711221075	0.000169767347078424	0.000710894285264262	0.000159793210469404	0.000283154165789634	7.48587224544527e-05	0.000276719669532969	0.000354983731330193	0.000145041236892175	0.00037001889709095	4.13537304975748e-05	0.0154952213079975	0.015457388504869	0.00644862942794488	0.037611540342934	0.0153033602161526	0.00392330791988002	0.17625810661346	0.0514898326485114	0.0200469407245969	0.126892809921188	0.0732889908861917	0.0317197915558014	0.00874346570856772	0.164027567985822	0.265386044545999	0.148006577909047	0.000309239919942359	0.00187569615688671	0.0020620976033533	0.00206207852458761	0.00690328243785357	0.012687608407001	0.0695243284425207	0.104028102539579
PC7	0.00198810483348011	0.00118088254002303	0.000212882379530554	0.000748492662273378	0.000412225078969885	0.000667421294686572	1	0.000219495606693912	0.000415500155029829	0.00179661962377105	0.00109772366350613	0.000784165824264247	0.00039336487136568	0.00162001427026116	0.000946377705306263	0.00200496187303654	0.000379495884060313	0.00111777946340946	0.000717528709631561	0.000252969066535255	0.00134611499036006	0.00151265281517514	0.000782131748003964	0.00173463110160528	0.00159082679975696	0.000189783068246865	0.000686677249833647	0.00152672408541338	4.85606080070054e-06	0.000272463865712848	0.000333733849746445	0.000775526397895739	0.000197522508227958	0.00112381413518344	0.000576988016407348	0.000637613163705345	0.000960627374866143	0.00105559163120045	0.000341145995237361	0.000142142224770525	0.0113640941372358	0.0308451975038867	0.0174953341527238	0.0231764888302566	0.056313535883379	0.0173326877041481	0.287193099850542	0.0400684119210189	0.0724532046794265	0.163064790387355	0.0181879408133037	0.0390100829144176	0.0343256708734069	0.318005721902904	0.418348787290213	0.296484517065482	0.123782575077965	0.00427272410939965	0.00588447751311705	0.00588447702163976	0.00669526459682884	0.0255521256108319	0.086469480474487	0.061875586673163
PC8	0.000362318698967838	0.00104165360710901	2.12035454798319e-05	0.000517591082557716	0.00018141492961652	0.000309490256620954	0.000219495606693912	1	0.000345859906179663	0.00117700388760683	0.000475432366316021	0.000101444707338296	8.12230416554179e-05	0.00131048037163837	0.0010194668852403	0.00190822060240366	0.000807624722698941	0.000236225578135935	0.000251733547958838	5.31956720198779e-06	0.000902715824975331	0.00059135867056416	1.46583611845439e-05	0.000446070659923073	0.000194580734404973	0.000411782133788943	0.000724564661750911	0.000380821670458827	0.000752300646561866	0.00109047039058058	0.000735103885254352	0.00145675597655207	0.00128624419702093	1.51025834674518e-06	0.00137155623139964	8.48228557923511e-05	0.000321393506111873	0.00043741586794822	8.11087604305569e-05	0.000807017365070599	0.0111987424000835	0.0174172356651165	0.0228009132145627	0.0100602561317888	0.0372910128941753	0.0156352070329621	0.0724087128013359	0.0336629188430942	0.0171469345203626	0.0723555448991905	0.0304863584593216	0.0286480815387285	0.0193101130410948	0.270246982201698	0.306208398693682	0.0637465093609985	0.193652470173398	0.00243364741187642	0.00259095608854317	0.00259094049570435	0.0269265344568022	0.0431900233644125	0.0496721724446137	0.166639977205642
PC9	0.000237332693922525	0.000286129654656401	0.000453979142165964	6.72716543489637e-05	0.000299354276344413	0.000759719273357422	0.000415500155029829	0.000345859906179663	1	0.000429172577321826	0.000913772711724737	0.000339133915741727	0.000467348323299415	0.000545000794963909	0.000934401369125142	0.00247915438568429	0.000637941535540735	8.29506598827951e-05	0.00112179778706482	0.000312657336330356	0.000850113811353576	0.000309896857961258	0.000849898083994864	0.000539567966062073	3.63502461369477e-05	9.43873679283089e-05	0.0006306066282167	0.000187966941552473	0.000188990616821584	0.000112975268296045	0.00100824385130145	0.000799828632654665	0.000851629443022282	0.000329157332595309	0.00159381355265448	0.000325536720928832	0.00021778463649805	0.000778240095767194	0.00168901574033848	0.00106977804256682	0.0235392987745995	0.0345133811870064	0.0310291586759773	0.0317845344396052	0.024348794014191	0.0183188143421137	0.098136635377128	0.00494464216554703	0.048181641660973	0.0610804659868783	0.0116535991401171	0.00951923212477034	0.00394140770923221	0.109414310426447	0.261655406312844	0.073310480006078	0.0836836088402466	0.00208135543078392	0.00249072748027209	0.00249067441544189	0.0894739172105352	0.0337815773963771	0.0396662661689704	0.03271042323167
PC10	0.000853719222707727	0.000765933255393976	0.000312973607895858	0.000373849383637702	0.000947561157670891	0.00140964689698882	0.00179661962377105	0.00117700388760683	0.000429172577321826	1	0.000219651643351679	0.00042449904896696	0.000383194495574127	0.0026214501080413	0.00167757450335651	0.00172397423717837	0.000270130258197861	0.000465048342833125	0.000392106962057904	0.000478108039816428	0.00199121260917004	0.0017651734480674	0.000350393568897763	0.000185817750325945	0.000683677727323681	0.00011149915520731	0.000157088783313398	0.00158989540969866	0.000208338918344694	0.000244320869716872	0.000443487109397563	0.00130047113723024	0.000745773452537717	0.000410456927277052	0.000399355855999704	0.000432991930340644	0.000692900654303889	0.000323825312111023	0.000271985556872236	0.000983189561122267	0.0113621191386036	0.0120688929585165	0.00596771940549059	0.0178779422975773	0.00224554584332025	0.0567289998758341	0.0619565843864539	9.68260675542334e-05	0.0503205033242467	0.0504248286705359	0.0238404036671181	0.0398424102767967	0.0360789137603967	0.0664475679546886	0.269315373801115	0.0610782125735811	0.00264937821114405	0.0032191607042725	0.00491969957990531	0.00491969878228651	0.0532737923453311	0.0457770203547042	0.0680824158228709	0.0518998430338963
