PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	gPC1	gPC2	gPC3	gPC4	gPC5	PCR	Cohort	Sex	Age	Ethnicity	Height	Weight	BMI	Death cause	Batch ID	Ischemic time	RIN Number	Tissue Type	Tissue	Uberon ID	Intragenic Rate	Total Mapping Rate	Exonic Mapping Rate	rRNA Rate
PC1	1	0.0507579671465658	0.0078744903448492	0.0343275344322151	0.0294272269959055	0.0247802767163822	0.00661189289289614	0.0102476111549699	0.0069797268614229	0.0444617227470721	0.0350978896295828	0.00876118727150694	0.030235964986322	0.0681816281125852	0.00401488702777788	0.0774910246681118	0.0320089471472289	0.0115544069135704	0.00932593185177823	0.0228872918971929	0.0326313765204383	0.0660584118763854	0.00275241767372179	0.042559478397138	0.0128245705619093	0.000250235844848366	0.0172904621603936	0.0264302816777285	0.0361313748015145	0.0410159000475985	0.00504494518706791	0.0158494806235911	0.0416346337041603	0.0190782394813672	0.00306443400717597	0.0205344980335587	0.00238238216555136	0.0401306233134032	0.00499148864545162	0.0109255837882503	0.0412593362259343	0.0711480690034413	0.0469869598049241	0.0856157921324939	0.109816967556833	0.0137776570437324	0.713534962844747	0.0902001412581276	0.322948497476469	0.459106476820835	0.140625606698136	0.0895424779953129	0.0140645314360179	0.645022667359044	0.356947644729666	0.571259789184021	0.273161162625998	0.328721930704841	0.333508215200005	0.333508182458791	0.169064092583199	0.0102067175607769	0.251979463858802	0.249990583271716
PC2	0.0507579671465658	1	0.0689863730727631	0.00552306922361514	0.0418772879233326	0.0254711544754052	0.0515478406667993	0.0767735944276222	0.0215962085381779	0.0158046322185743	0.0235568977029958	0.0281726582677194	0.0359021252632454	0.00356800300936077	0.0221750851030667	0.0289541836445172	0.0154458295984919	0.0289296697484151	0.0290072840148396	0.00272625988384085	0.0369043821792593	0.0350015012453256	0.00549157637754132	0.0382911987840488	0.0210322083195053	0.00825330291910067	0.0375185896927552	0.0426050723594554	0.00439228265544692	0.0355232353610842	0.000928357988791491	0.00409489329783157	0.0303835603586273	0.00511262395211336	0.0340115657772607	0.00304481338635632	0.0116432132921258	0.0342335186316311	0.00562489513346175	0.0151718633331919	0.0049183503601917	0.0168371716908818	0.0215518714848054	0.0431659033012893	0.0368225949260027	0.0175339687277804	0.088639737502695	0.00711761467127555	0.0868771795138383	0.0492631240676069	0.0232530880372623	0.0207554914257151	0.0450018493513326	0.397508367825893	0.325453960718685	0.0113634702929476	0.0682939041967621	0.0485247917205739	0.0626033565406188	0.0625580621369127	0.0247515142840858	0.0292378034105991	0.012334773815792	0.0979356111559025
PC3	0.0078744903448492	0.0689863730727631	1	0.00693203793343611	0.00806103407794025	0.0308375658347699	0.0573430002715214	0.0475961711996405	0.0454817301329741	0.0310100458259057	0.0155025375991976	0.0774857785548078	0.0530097439436818	0.132224970617277	0.00814702065102249	0.0350454130990632	0.0560682325444096	0.063235422433597	0.0326383249373724	0.06538173848154	0.0534875596324968	0.00443580128654463	0.0325892284296747	0.00630146930125251	0.00941361726473878	0.0524318628889871	0.0423975001018556	0.0211876872014382	0.0614509010635362	0.0258435847483238	0.030419003389636	0.0225619182537095	0.00787146623463237	0.0665564484609189	0.0331249814237061	0.00783547436287152	0.0157571519473823	0.0467227269276843	0.00397506077843965	0.0325351480510857	0.0446126864696935	0.0736675691140499	0.0469136282375437	0.0624723411060381	0.0972975828705172	0.00765360845573736	0.317930211734459	0.0408942775557682	0.123641649909051	0.1648258548467	0.00212263794431719	0.0139355384136881	0.0142547019549033	0.300497039429839	0.339785881051516	0.259760300460029	0.10533258823134	0.127724211470171	0.133238230277883	0.133237979716231	0.0247230397762354	0.00490123328244954	0.11893384418818	0.0444273863650849
PC4	0.0343275344322151	0.00552306922361514	0.00693203793343611	1	0.0472282900861868	0.00884510187888544	0.0192272186428122	0.00962980602364424	0.000716253993940466	0.0194865590600178	0.0124367592736003	0.0196836522416013	0.076129997080094	0.0494355203271817	0.000819194757904535	0.00712419144632788	0.0105059996400574	0.00399370719087333	0.0452948018757251	0.0286255536240168	0.025839241475147	0.0126074524427882	0.0243896510666728	0.00437262204903978	0.0114912798833559	0.0228713479376831	0.00716626031976979	0.000654570778263171	0.0296826132133984	0.0372434640904102	0.0348467345974159	0.0287354552649955	0.0306119251742847	0.0146988310682825	0.0268998131806843	0.010528412962292	0.00489071054569665	0.0439107304291453	0.000723038358725394	0.0205217988243883	0.00395807417210664	0.0367514756216233	0.0546739353966334	0.0733371610376533	0.0963517128158848	0.0640473019732741	0.0808725327312079	0.112800754368642	0.0513988822022187	0.165453672996887	0.117293101675915	0.117067717004762	0.0766549930817809	0.418255587246781	0.386865024119771	0.149626849033787	0.0339666479858289	0.0574824326107584	0.0677121072698029	0.0675143838845832	0.0263099038230729	0.0787841105717362	0.0664668580390508	0.00157605754480286
PC5	0.0294272269959055	0.0418772879233326	0.00806103407794025	0.0472282900861868	1	0.00485690980538932	0.00842620399343896	0.00468893919797466	0.0348825833207954	0.0675297966530776	0.00266861877939679	0.00402311340446278	0.00993797028310996	0.0725251683024535	0.060180399225438	0.0423672190407779	0.0168232483425943	0.00630885581928796	0.0097489232471161	0.0232410026112864	0.00990914128219847	0.00565084779629228	0.00574003414725146	0.0186391802864389	0.0163131811075377	0.0338670661647093	0.0210993582927357	0.0173332324108786	0.0348304056036288	0.0739397312363505	0.00944080753380962	0.00814920777726154	0.00269223766396642	0.0210464246532672	0.00579483572239753	0.00570793328979402	0.00783821198503147	0.0112189159617537	0.0012368252693118	0.00480293665243254	0.0178045463341135	0.043829919416284	0.0359609845603727	0.0579626280979548	0.00816615374546388	0.0616901854715301	0.081539724299818	0.0221089750456787	0.0904762883909198	0.0662731701747729	0.0314335648010203	0.00947219942093237	0.00281583187105247	0.24349718062702	0.431311853724164	0.0665319629452992	0.0387865459470014	0.0693972877785481	0.0744540055011328	0.0744088156517597	0.00888439880417548	0.0921811608443939	0.0296925989302064	0.00944271259944467
PC6	0.0247802767163822	0.0254711544754052	0.0308375658347699	0.00884510187888544	0.00485690980538932	1	0.0258515068048167	0.0306909849296366	0.0171374995678099	0.00457402029928857	0.00617631555276547	0.0502272301119804	0.0885896109506476	0.0571410495588616	0.0269076958190429	0.0114716509437392	0.0284542855769292	0.0189578694217564	0.00283549323601023	0.0416919207856513	0.0162542798255216	0.0353513989180642	0.00619403108324836	0.0144422385685772	0.0237421510114989	0.0189864340429865	0.00457196832838701	0.00716257646385889	0.0546723270410318	0.0380816256300968	0.0140662642369301	0.0256117408286566	0.00479316140909664	0.0546509962591237	0.0547519436683754	0.0137852739834354	0.0169734122772088	0.0313786432516044	0.00524518133886718	0.0323459583396689	0.00334799278429954	0.0138086509602002	0.0254386001570179	0.0152805319273205	0.00989371701256125	0.00179001870298646	0.0143605013707359	0.0948866496536693	0.025015454298308	0.140291113919815	0.112652820237131	0.115439194129393	0.0773460883172326	0.0788115200135123	0.449596054502428	0.025553316691851	0.0234628596279735	0.0422456607853905	0.0515887360628593	0.0515390673609491	0.00784425048824647	0.09859774584843	0.0343254709998095	0.00649649611585793
PC7	0.00661189289289614	0.0515478406667993	0.0573430002715214	0.0192272186428122	0.00842620399343896	0.0258515068048167	1	0.0428396411865723	0.0544233816252557	0.00317284588573677	0.00479214939550808	0.0387992813510643	0.0316997590623016	0.0782159315872476	0.0335534925516646	0.0174752286869231	0.0567670011739268	0.0300447413691844	0.0337890309426417	0.0502806673305762	0.0111910681857668	0.00158548618662364	0.0150873019383243	0.0171838531575542	9.37261744480156e-05	0.0212220659205649	0.0376528467400994	0.0206858511358506	0.0310315487162998	0.0253766152957679	0.00461247555123063	0.0176022468704518	0.0202998634709849	0.0399927712121307	0.0062208158881341	0.018854943372575	0.0568284637425169	0.00541271023512786	0.027537579615116	0.00390367775146442	0.021757327246981	0.00534277181900318	0.033354251706507	0.0157726488529999	0.00591913319673692	0.0709943069573904	0.122050274238727	0.0245310751022662	0.0811665013528873	0.121628098780515	0.00557012729471488	0.0503224305197977	0.0582195235345171	0.221480524698065	0.521317125372727	0.218800574770653	0.090366377543081	0.0979695598000726	0.109839839444706	0.109767853227398	0.0337953002069149	0.10307482767792	0.0734707080955194	0.100593001563914
PC8	0.0102476111549699	0.0767735944276222	0.0475961711996405	0.00962980602364424	0.00468893919797466	0.0306909849296366	0.0428396411865723	1	0.0441907651810749	0.00111429913208061	0.0120404113421883	0.0742618200263137	0.0196272847772611	0.0489698729313557	0.0606858020262652	0.0218836190019686	0.0296904697268279	0.0404833079953655	0.00367895632723927	0.0516370949883688	0.0828498106675411	0.0310912943058797	0.0211377069988285	0.00824200135630557	0.00302666074348279	0.0647319688891989	0.0357435466174134	0.0113168051563969	0.0270921571397161	0.0456377934408511	0.0244392236309135	0.020735453011201	0.029411223155168	0.0348950503233357	0.0103395384535187	0.0234197624503223	0.00651257392524785	0.0176031381743945	0.00247657763321596	0.0541862564556486	0.00296146628306166	0.0212135305425288	0.00119089241434183	0.0120649133235412	0.0198231757275628	0.113989767654244	0.09888333230743	0.0080474232896312	0.107360844171524	0.0591653215526123	0.00899163169447165	0.00832361390847572	0.0131077030166723	0.280213449920112	0.378656713592331	0.0592861933368896	0.00928128269462234	0.0548492852831365	0.0642550453715684	0.0642235223821878	0.0339924523037535	0.0628600010336022	0.0413385248484923	0.00751880073278806
PC9	0.0069797268614229	0.0215962085381779	0.0454817301329741	0.000716253993940466	0.0348825833207954	0.0171374995678099	0.0544233816252557	0.0441907651810749	1	0.0395553909100853	0.00762454257024252	0.039175726370632	0.111654585814118	0.155691682229465	0.0390345212582899	0.0455801632806559	0.0545201064169359	0.0108901125352365	0.0371070943950267	0.0123705743924713	0.000737236505299973	0.00402788980318132	0.00735012092591274	0.0155088930046387	0.0451248837344568	0.0555805801819251	0.0207847082605587	0.0193925599598342	0.0118575764623607	0.0431893490656968	0.0640014857910768	0.00763884884970261	0.0482464901540887	0.0337577302789361	0.0207493928609042	0.0261549831141425	0.00602461466505831	0.0181829533364327	0.00307438424860794	0.0274468435258753	0.055141886605986	0.0605490522833833	0.047185939405266	0.0186796410359836	0.0504940660241494	0.290961869054452	0.0513565246021893	0.0899100630795171	0.0182009067501899	0.200628552667871	0.105224450673284	0.0626468678497015	0.00451230722671625	0.13854296963701	0.554079513365593	0.158149157281444	0.0808557633635862	0.0591259497473992	0.075040381784835	0.0749949468004347	0.00722182029563126	0.0368617884333888	0.00845478904226225	0.0080312990393282
PC10	0.0444617227470721	0.0158046322185743	0.0310100458259057	0.0194865590600178	0.0675297966530776	0.00457402029928857	0.00317284588573677	0.00111429913208061	0.0395553909100853	1	0.0550524185268342	0.0173185508173318	0.108117278461396	0.0536623168726312	0.0169526797980405	0.0412478179075609	0.0782785065276582	0.104707871517804	0.040144901888637	0.0513852342723533	0.0241992132789483	0.0340013869264128	0.0209978890420353	0.0365022982052479	0.00743424741850559	0.0290794022362789	0.03512772018395	0.0324980719462446	0.0324343261083254	0.0332907702130917	0.026887897038829	0.00278979406565709	0.0369438158196542	0.00555467890171762	0.00531579886921521	0.0290981994312391	0.0531119580752421	0.00491581461955098	0.0673205487187728	0.0414322534146107	0.0667968477577543	0.0535281184988097	0.0891441026585756	0.0385927707260652	0.0181391023378459	0.0821709069456808	0.000359353186061926	0.0847063186913094	0.131017038757897	0.109904549586646	0.0228984989374542	0.0537729351730251	0.0900570971755384	0.0922678590009618	0.400104189448869	0.00826685215378787	0.0614354914432979	0.0409453258513299	0.0584469010535852	0.0584241095006052	0.0188452671275852	0.0365020968468082	0.012030748827276	0.101136745382101
