PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	gPC1	gPC2	gPC3	gPC4	gPC5	PCR	Cohort	Sex	Age	Ethnicity	Height	Weight	BMI	Death cause	Batch ID	Ischemic time	RIN Number	Tissue Type	Tissue	Uberon ID	Intragenic Rate	Total Mapping Rate	Exonic Mapping Rate	rRNA Rate
PC1	1	0.00060017398742108	9.39605953322313e-05	7.58013310092166e-05	0.000101155571716383	0.000516931368079309	0.000431758889454346	0.000292598509349133	0.00165569594698476	3.68308579068236e-05	0.000407951046898899	0.00175608784249677	0.00135453270017066	0.000232069421853371	0.00145478934596694	0.00100366518608947	0.00117097822297692	0.00170509929136684	0.000674537991706686	0.000468532679157307	0.000692715052686252	0.00103063037208926	0.000455126776201012	0.000520429565720892	0.000186888007951079	9.80886138976563e-05	0.00221599824242423	0.000609887620507	0.000871487857668118	0.000625929984478719	5.40810234295214e-05	3.05244974615018e-06	0.00040300214975878	3.38098555993961e-05	0.0004665810161688	4.38136587623607e-05	0.000540347631562649	0.000193668011596159	0.000643851458714736	0.000378480268285046	0.000230419108752218	2.7616987215714e-05	0.000176251726540884	8.24305534560619e-05	0.000386891025254036	0.000600435653828018	0.000932408882429037	0.000389049925007484	0.000323969983378738	0.00332144787759851	0.000829286672349737	0.000121880917160304	0.000375081954879187	0.00106625154673235	0.243164403409715	0.0182180527344295	0.191785677841477	0.182567625010775	0.185212451706098	0.185202872341793	0.0928870604741518	0.0161541908389965	0.391792448649429	0.042943038599775
PC2	0.00060017398742108	1	0.000371790030926317	3.49064543229722e-06	0.000518241858757381	0.000276548597316906	0.000498147770209714	0.000324412393105986	0.000957914551901789	0.000280922850289664	0.00126937727183091	0.000148381423120681	0.000657904072437179	0.001068741485828	0.000827734578272129	0.000598440883778729	0.00129513079174918	0.000432410230354639	7.69248424837415e-05	0.000347388928905312	0.000461735521860523	0.000862513369850252	0.000531516724812595	0.000552657171076974	0.000526898211478464	6.0805290912869e-05	5.34100443369614e-05	0.000188910329065036	0.000122567184007107	0.000507676564244944	0.00179803154214988	0.000687224619480386	0.00124785289588327	0.000471793270018278	0.000974838027426091	0.000647588699900185	0.00143636109140124	0.000591524648874997	0.000551636388993463	0.000160042207216379	0.000480637376497783	0.00020008435670927	0.000340837960507343	5.0026099722658e-05	0.00029655989176144	6.36975410053713e-05	5.64152985887169e-05	0.000163574469707015	0.00020851130779024	0.000652035812362614	0.000110272621492567	0.00033002278230751	0.000471061555290402	0.000277698771607422	0.468247417800097	0.00230364899405386	0.192588558574697	0.0277671861392468	0.0296851427083913	0.0296799104525865	0.0033645971254541	0.048577932151036	0.137506113857396	0.0643322735309745
PC3	9.39605953322313e-05	0.000371790030926317	1	0.000372801918015093	0.000130976521885433	0.000499161298545984	0.00127169259665054	0.000809168034429214	0.00069514529586581	0.000358329038893473	0.000837851987951693	0.000535925200811702	0.000892530848105737	9.15667977826277e-05	1.00258659884588e-05	0.000757906906760353	0.000249351674614626	0.000521277387310429	0.000270446483009219	0.0016963276817456	4.23626254869341e-05	0.000479844055575907	0.00134380668025734	0.000826550613586267	0.000806379899015635	0.000450707582750093	2.08683159867752e-05	0.000148225185029164	0.000330077883979053	0.00108174679150392	9.83101127544784e-05	0.000564514642898721	0.000691741063136683	0.000293928492791898	0.000744070608589529	0.000501464425073783	0.000144536614796169	0.000846126297094447	4.35454972444495e-05	0.000454526886760002	0.000696420397342738	0.000557534831044337	0.000798221162658452	8.66103407319505e-05	0.00039567901325854	0.000810129780257176	0.000164261006222407	0.000297431469921863	5.11408843191187e-05	0.00154758053776395	0.000438460246255518	0.000249569480856271	3.49437442171609e-05	0.00070540615153028	0.230604219625433	0.00676522788555329	0.120651344636639	0.0995397163554797	0.101631168240979	0.101629096350509	0.0800481999025505	0.0185835844092975	0.136467079829304	0.0764755150855137
PC4	7.58013310092166e-05	3.49064543229722e-06	0.000372801918015093	1	0.000486810307127332	0.000289956764093042	0.000366625675099397	0.00106586092284889	0.000300566045657049	0.000600142801830895	0.000301916709599144	0.000787334536960822	0.000207669255964587	0.000451818155205411	0.000863451087568396	0.00105052246375739	0.00139621582356073	0.000612347297072286	8.16853650136493e-05	0.00034525423954109	0.000310800276202536	0.00119956859152942	0.000617472829231296	0.000831190429107217	0.000473095440424227	0.000510707536850048	0.000694372445145277	0.000524869195067916	0.000493984496832155	0.000594965238486579	0.0010494167916542	0.000400974503072941	0.000474887877728643	6.21868831745098e-05	0.000774209252776322	0.000134261494611741	0.000682733372076165	0.000304847504977123	9.93493609804052e-05	0.0011468605937212	0.000231238990818394	3.75213641871427e-05	0.000268014290951169	0.000104503648263741	0.000135291252380277	0.000134677557781164	2.98636626807815e-05	0.000882078709691305	0.000244409059907264	0.000113464960312864	0.000362637551625257	0.000485549177388323	0.000332926946976611	0.000549159888764026	0.232093998733483	0.00184320902112481	0.0140998975634582	0.0305814786056412	0.0390874543611435	0.0390709543497331	0.0474788738064981	0.0224572716344961	0.0491136577980379	0.0310696687517199
PC5	0.000101155571716383	0.000518241858757381	0.000130976521885433	0.000486810307127332	1	0.00100446696680368	0.00108236010712132	0.000159311396702394	0.000955659775052161	0.000564286180581349	0.000499583198819716	0.000165999602301617	0.000415336088376683	0.00118355251841571	0.00174603801385873	0.00010549171924535	0.000404656288791902	0.000616393504682788	0.000466436941559975	0.000495045205363322	0.00059490053303673	0.00115422499160905	7.77165564205548e-05	4.08364811640741e-05	0.000718997590342388	0.000302389596311027	3.41696251999948e-05	6.40875116200163e-05	0.00109097731900796	5.34362007195872e-05	0.000253790663956571	0.000290868985562284	0.000511513612889699	0.00025056095561579	0.000533194043101958	4.46266095566713e-05	0.000274990264856379	9.70025028374736e-05	0.000185874800682243	0.000112081441725908	4.45307869674696e-05	0.000449607251527365	0.000181853792855599	0.000200767876761025	0.000290084010891058	8.69860374264585e-06	0.000118460414899924	6.93753331117491e-05	0.000207902285987431	0.000635498927054862	0.000466028843930976	0.00056836955916059	0.000398058950344999	0.000713457781165309	0.353045963875846	0.00536014973916472	0.103781266633474	0.0376194295039846	0.0406028039990111	0.0405586769856297	0.0253676665884494	0.0205149643651954	0.00902460457035505	0.0900257027429985
PC6	0.000516931368079309	0.000276548597316906	0.000499161298545984	0.000289956764093042	0.00100446696680368	1	0.000214386941593234	0.000868159599096086	0.0015943459773431	0.000694587650827451	0.000967896574558812	0.000312072683533349	0.000277338453701006	1.55667656893035e-05	0.000560875307720359	0.000423810543632919	0.00125545580709539	0.000147642352893669	0.00049008421249081	3.64261775129004e-05	0.000147498186108933	0.000402046694093989	0.00168281689507941	0.000186554236228053	0.00147788618508482	0.000820107284594571	0.00098079978169459	3.72606833535898e-05	0.000824045763894681	0.00150084916241207	0.000658589575010558	0.000422743079459729	0.000626084086089411	0.000357357278862882	0.0010579707280262	0.000268050853093508	0.000624696229025725	0.00104168175455794	0.000839245293117699	0.000250445631074811	2.52958354933844e-05	0.000120292898549363	4.06607074337058e-05	1.07370217652873e-05	0.000245625178376081	0.000255489216273549	1.96556697546514e-05	0.000399614573733346	0.000105803352456951	4.57905286145974e-05	0.000388553040635135	0.000105779870897138	0.000123357629093383	0.000486388616980211	0.319442455828748	0.0211690779511572	0.215372499214055	0.146540625556432	0.150738398708882	0.150738397170329	0.00830997907687142	0.0175353135195775	0.0488091565022205	0.0538710922096066
PC7	0.000431758889454346	0.000498147770209714	0.00127169259665054	0.000366625675099397	0.00108236010712132	0.000214386941593234	1	0.00033511216454087	0.00277954912075582	0.000935690803607499	0.000509034143979785	0.000666202206121506	0.000111161786498639	0.00139407904472473	0.00251917806126149	0.00120370064776062	0.000848713335638435	0.00038227250545354	0.000172562633560103	0.000808901137786034	0.000654295047503232	0.000543411857374612	0.00130334636575802	9.44206802558469e-05	0.000201184991796022	0.000454046755015607	0.000389335851358428	0.000701282326339609	0.00112638094835742	0.00207069226093739	0.000705492298134306	0.000261927174432927	5.36366851902406e-05	0.00014773733558777	0.00061925275807951	0.000230610758802916	0.00108165407666148	0.000644398921930177	4.0419047035552e-05	0.00077860666346577	0.000307258691879338	0.000233861647727006	0.000459217264087452	0.000174071646019432	0.000144338143717997	3.33467295553329e-05	0.000185042247779828	0.000627681345558897	0.000132311185034487	0.00146665110792315	0.000632874272958127	0.00017720064329569	0.000255062976945749	0.000721594316391488	0.189062582286474	0.00163443595654337	0.10691688451087	0.0795535704926382	0.0854387555122395	0.0854366666811697	0.00173894278241145	0.0303064848325911	0.0236701755468054	0.229412174160667
PC8	0.000292598509349133	0.000324412393105986	0.000809168034429214	0.00106586092284889	0.000159311396702394	0.000868159599096086	0.00033511216454087	1	0.000735739784044616	0.000778897150316541	0.000444454948833416	0.000975332001783083	0.000644407908884835	0.000989821617049708	0.00221771267556894	0.00124981715913486	0.00147926708334944	1.45640308803815e-05	0.00137322839934398	0.000387432373397695	0.000246842350291988	0.000532839654291383	0.000669874626175467	0.000805883854172103	0.000136452416498132	0.000218811533408766	0.000474346759179543	0.000659611995087761	0.000711028270780181	0.00122851454841167	7.3054620922974e-05	0.000453815924122035	0.000755035356567918	0.00042165098939427	0.000655658481565929	0.000497913693440892	0.000779447778671723	0.00137404356409531	0.000366127300711077	0.000712236456280699	0.000752889130940723	0.00070530412117975	0.000708124291342726	8.46767459427395e-06	0.000131729391244461	7.79556510791327e-06	0.000305881156689718	0.000655903752247296	0.000710208372759979	0.00182324454710216	0.000692137659513451	0.000504393957028485	0.000178197541678566	0.000856651744893542	0.249238151795456	0.0307537443037205	0.0175647091944016	0.216914203736067	0.220960216004876	0.220959070033874	0.111999852339902	0.0366380098326102	0.0616895528955192	0.146413746678916
PC9	0.00165569594698476	0.000957914551901789	0.00069514529586581	0.000300566045657049	0.000955659775052161	0.0015943459773431	0.00277954912075582	0.000735739784044616	1	0.0018038624788412	0.000380066797424696	0.00174381717025234	0.00110789720154745	0.00165552222751936	0.00514911921581462	0.0019349350139024	0.000816574117704665	0.000353044723041956	0.000594991523931894	0.00353830192594914	0.000842127766794868	0.00105489395435234	0.000571314062565439	0.000652830604526073	0.00031524432542012	0.00169937557213274	0.00253690285727079	0.00122129612887106	0.000969791127211128	0.00123028744123827	0.000705284179450182	0.000166515194504188	0.00068031191102533	0.000137842256774165	5.06578191049566e-05	4.03324467064929e-05	0.00212103205023589	0.000714087814349989	0.000792655396756906	0.0014043250573939	0.000700864997304622	7.26044315090624e-05	0.00080940548042802	5.51922951782949e-06	0.00039209759607812	0.000304904897283892	0.000799234141951136	0.000154997914218392	0.000232228053941729	0.00261787326099759	0.00122054821656475	0.000640568318535803	0.000100530884817185	0.000615665729005605	0.217802489739931	0.027904595521286	0.021776901446766	0.151342491142946	0.155875555730178	0.155870901387508	0.110747351448306	0.00647192697180765	0.0843011949563422	0.0802410218262548
PC10	3.68308579068236e-05	0.000280922850289664	0.000358329038893473	0.000600142801830895	0.000564286180581349	0.000694587650827451	0.000935690803607499	0.000778897150316541	0.0018038624788412	1	0.00149942408821426	0.000791498867584961	0.000126886826164147	0.00165732449105818	0.00239588865918432	0.000964577124551787	0.00104924740538619	0.000772540260407779	0.000852905248304311	0.000714686365432056	4.28116640992488e-05	0.000328508737156233	0.000109727621571514	0.000488993206314146	0.000224831621474349	0.000364238149273192	0.000515156920645589	5.03131579896073e-06	0.000219810900503772	3.08645968311975e-05	0.000114093895224397	0.000527480583941672	0.000532043095252402	0.00034835852896588	0.000367692200613514	0.000271399455347361	0.00115301573664206	0.000135685643030145	3.40747030083363e-06	0.000869737937468191	5.04096821642205e-05	0.000310643342012254	0.00013887681000174	0.000118976653046441	0.000264343593415842	0.000540350122676392	6.97936235142024e-05	0.000569845982765187	0.00027987624249636	0.000334323099066539	0.000789759079131673	0.000525350726567673	0.000121448400611377	0.000509764388465196	0.247234228986057	0.00694455707219868	0.0204498756299001	0.0820915231765575	0.0859115955345218	0.0858567572219839	0.0437125116793166	0.0983773168307675	0.0287554376633262	0.0892307070918396
